total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1322,.1810089095407269E-02,1,729,1,1,-.6895577506297623E-03,1,1,.3724451302919909E-14,1,1,1.000000,0.6163905E-12
1323,.1810089095407269E-02,1,729,1,2,-.4251665162862129E-15,1,1,-.3053113321845854E-16,1,10,0.6163905E-12,0.2393918E-16
1324,.1810089095407269E-02,1,729,2,1,.8080646858919266E-25,1,10,-.4618527782142808E-13,1,7,0.3224443E-10,0.3224443E-10
1325,.1900593550177633E-02,1,730,1,1,-.7240356381630210E-03,1,6,.3727053388133870E-14,1,2,1.000000,0.6172510E-12
1326,.1900593550177633E-02,1,730,1,2,-.4467388425051539E-15,1,6,-.3053113319643512E-16,1,4,0.6172510E-12,0.1700029E-16
1327,.1900593550177633E-02,1,730,2,1,-.1711592103801069E-25,1,8,-.2842170942977635E-13,1,3,0.1104183E-10,0.1104183E-10
1328,.1995623227686514E-02,1,731,1,1,-.7602374200693161E-03,1,10,.3720114494229968E-14,1,2,1.000000,0.6167925E-12
1329,.1995623227686514E-02,1,731,1,2,-.4688999444038178E-15,1,10,-.3608224831921901E-16,1,9,0.6167925E-12,0.2116363E-16
1330,.1995623227686514E-02,1,731,2,1,.8600343007570560E-26,1,1,.3197442310861517E-13,1,8,0.9215739E-11,0.9215739E-11
1331,.2095404389070840E-02,1,732,1,1,-.7982492910749626E-03,1,10,.3784299262841070E-14,1,3,1.000000,0.6169425E-12
1332,.2095404389070840E-02,1,732,1,2,-.4923910996836184E-15,1,10,.8326672684916260E-16,1,3,0.6169425E-12,0.5551115E-16
1333,.2095404389070840E-02,1,732,2,1,-.2214384000120089E-25,1,2,-.3197442310805015E-13,1,7,0.1805134E-10,0.1805134E-10
1334,.2200174608524382E-02,1,733,1,1,-.8381617556303812E-03,1,2,.3725318664657896E-14,1,2,1.000000,0.6166796E-12
1335,.2200174608524382E-02,1,733,1,2,-.5169137227427143E-15,1,2,-.3053113317733206E-16,1,3,0.6166796E-12,0.2393918E-16
1336,.2200174608524382E-02,1,733,2,1,-.3790272853607797E-25,1,9,.4973799149996095E-13,1,6,0.3263168E-10,0.3263168E-10
1337,.2310183338950601E-02,1,734,1,1,-.8800698434083011E-03,1,10,.3724451302919909E-14,1,3,1.000000,0.6163975E-12
1338,.2310183338950601E-02,1,734,1,2,-.5426321857286110E-15,1,10,-.5828670880210151E-16,1,7,0.6163975E-12,0.3087808E-16
1339,.2310183338950601E-02,1,734,2,1,-.1037824830516386E-24,1,1,.5684341885668342E-13,1,5,0.3628031E-10,0.3628031E-10
1340,.2425692505898132E-02,1,735,1,1,-.9240733355827147E-03,1,8,.3728788111609847E-14,1,2,1.000000,0.6169078E-12
1341,.2425692505898132E-02,1,735,1,2,-.5700042467709758E-15,1,8,-.2775557564594878E-16,1,8,0.6169078E-12,0.2081668E-16
1342,.2425692505898132E-02,1,735,2,1,.2235774615091206E-24,1,10,-.7105427356692789E-13,1,8,0.6390977E-10,0.6390977E-10
1343,.2546977131193038E-02,1,736,1,1,-.9702770023607030E-03,1,3,.3752206878535518E-14,1,2,1.000000,0.6173182E-12
1344,.2546977131193038E-02,1,736,1,2,-.5987008280440270E-15,1,3,.4996003612325088E-16,1,2,0.6173182E-12,0.2636780E-16
1345,.2546977131193038E-02,1,736,2,1,-.1083593755046763E-24,1,4,.3552713678651387E-13,1,9,0.2098588E-10,0.2098588E-10
1346,.2674325987752690E-02,1,737,1,1,-.1018790852476195E-02,1,1,.3729655473347833E-14,1,2,1.000000,0.6172178E-12
1347,.2674325987752690E-02,1,737,1,2,-.6285769587661824E-15,1,1,-.5551115124708474E-16,1,5,0.6172178E-12,0.4163336E-16
1348,.2674325987752690E-02,1,737,2,1,.3099359241979983E-24,1,1,-.6394884620927272E-13,1,5,0.7143441E-10,0.7143441E-10
1349,.2808042287140325E-02,1,738,1,1,-.1069730395096564E-02,1,10,.3732257558561797E-14,1,1,1.000000,0.6171353E-12
1350,.2808042287140325E-02,1,738,1,2,-.6599748785968863E-15,1,10,.3053113320561036E-16,1,1,0.6171353E-12,0.1700029E-16
